File Created Date: 2024-05-29			Comments: RECORDING START TIME: Tue May 28 22:03:03 EDT 2024, DURATION: 30s.  0818 right, 1064 left.

PPG	Derivative	Time	Laterality
"1.8276546E7"	0	"0.0"	"LEFT_ARM"
"1.832225E7"	0	"0.040100104000000004"	"LEFT_ARM"
"1.836662E7"	0	"0.077434271"	"LEFT_ARM"
"1.8417886E7"	0	"0.11753437500000001"	"LEFT_ARM"
"1.8455894E7"	0	"0.15763447900000002"	"LEFT_ARM"
"1.8505644E7"	0	"0.19773458300000002"	"LEFT_ARM"
"1.8553558E7"	0	"0.23783468700000002"	"LEFT_ARM"
"1.8597812E7"	0	"0.27787375000000003"	"LEFT_ARM"
"1.8643724E7"	0	"0.318034843"	"LEFT_ARM"
"1.86807E7"	0	"0.35816546800000004"	"LEFT_ARM"
"1.8720292E7"	0	"0.39826557300000004"	"LEFT_ARM"
"1.8759886E7"	0	"0.438365677"	"LEFT_ARM"
"1.8792744E7"	0	"0.47843526000000003"	"LEFT_ARM"
"1.8785204E7"	0	"0.518565885"	"LEFT_ARM"
"1.8740216E7"	0	"0.558696458"	"LEFT_ARM"
"1.8693636E7"	0	"0.5987660410000001"	"LEFT_ARM"
"1.8654364E7"	0	"0.638866146"	"LEFT_ARM"
"1.8623942E7"	0	"0.67896625"	"LEFT_ARM"
"1.8591472E7"	0	"0.7190663540000001"	"LEFT_ARM"
"1.858019E7"	0	"0.759166458"	"LEFT_ARM"
"1.8576788E7"	0	"0.799236041"	"LEFT_ARM"
"1.8575892E7"	0	"0.8393361460000001"	"LEFT_ARM"
"1.8582692E7"	0	"0.879375208"	"LEFT_ARM"
"1.8592824E7"	0	"0.919536302"	"LEFT_ARM"
"1.8599836E7"	0	"0.9596364060000001"	"LEFT_ARM"
"1.8612844E7"	0	"0.9997365100000001"	"LEFT_ARM"
"1.8622448E7"	0	"1.0398366140000002"	"LEFT_ARM"
"1.8634628E7"	0	"1.0802064580000001"	"LEFT_ARM"
"1.86537E7"	0	"1.1203370830000001"	"LEFT_ARM"
"1.8670542E7"	0	"1.160406666"	"LEFT_ARM"
"1.869798E7"	0	"1.2004762500000001"	"LEFT_ARM"
"1.8717902E7"	0	"1.240576302"	"LEFT_ARM"
