File Created Date: 2024-09-04			Comments: RECORDING START TIME: Tue Sep 03 22:16:19 EDT 2024, DURATION: 30s. Left 1064, no tourniquet. Right 0818, no tourniquet.

PPG	Derivative	Time	Laterality
"2.3639136E7"	0	"0.0"	"LEFT_ARM"
"2.3645524E7"	0	"0.040191667"	"LEFT_ARM"
"2.3667654E7"	0	"0.080413802"	"LEFT_ARM"
"2.3683644E7"	0	"0.120605469"	"LEFT_ARM"
"2.3702046E7"	0	"0.160797136"	"LEFT_ARM"
"2.3713788E7"	0	"0.201019271"	"LEFT_ARM"
"2.373744E7"	0	"0.24124145900000002"	"LEFT_ARM"
"2.375886E7"	0	"0.281463646"	"LEFT_ARM"
"2.3781928E7"	0	"0.321655261"	"LEFT_ARM"
"2.377984E7"	0	"0.36187744800000005"	"LEFT_ARM"
"2.3635428E7"	0	"0.40209963600000004"	"LEFT_ARM"
"2.3466284E7"	0	"0.44229125"	"LEFT_ARM"
"2.332811E7"	0	"0.482513438"	"LEFT_ARM"
"2.325604E7"	0	"0.522705104"	"LEFT_ARM"
"2.3183872E7"	0	"0.562998282"	"LEFT_ARM"
"2.3151254E7"	0	"0.603220469"	"LEFT_ARM"
"2.3162084E7"	0	"0.643351094"	"LEFT_ARM"
"2.316292E7"	0	"0.6836342710000001"	"LEFT_ARM"
"2.3149312E7"	0	"0.7238564590000001"	"LEFT_ARM"
"2.3142704E7"	0	"0.764078594"	"LEFT_ARM"
"2.3157124E7"	0	"0.8043007820000001"	"LEFT_ARM"
"2.3180508E7"	0	"0.844522969"	"LEFT_ARM"
"2.3212464E7"	0	"0.8847451040000001"	"LEFT_ARM"
"2.3242532E7"	0	"0.924967292"	"LEFT_ARM"
"2.325658E7"	0	"0.9651894790000001"	"LEFT_ARM"
"2.328252E7"	0	"1.005411615"	"LEFT_ARM"
"2.3311876E7"	0	"1.045633802"	"LEFT_ARM"
"2.333327E7"	0	"1.0858559380000001"	"LEFT_ARM"
"2.3363212E7"	0	"1.126047604"	"LEFT_ARM"
"2.3392172E7"	0	"1.166269792"	"LEFT_ARM"
"2.3428556E7"	0	"1.206491927"	"LEFT_ARM"
"2.3461296E7"	0	"1.246744636"	"LEFT_ARM"
