File Created Date: 2024-06-03			Comments: RECORDING START TIME: Sun Jun 02 22:40:43 EDT 2024, DURATION: 30s. Left 0818, right 1064. Left tourniquet.

PPG	Derivative	Time	Laterality
"1.6227332E7"	0	"0.0"	"LEFT_ARM"
"1.6187489E7"	0	"0.039154062"	"LEFT_ARM"
"1.6162237E7"	0	"0.07824708300000001"	"LEFT_ARM"
"1.6145999E7"	0	"0.11746218700000001"	"LEFT_ARM"
"1.6142927E7"	0	"0.15664677000000002"	"LEFT_ARM"
"1.6134823E7"	0	"0.195800781"	"LEFT_ARM"
"1.6128706E7"	0	"0.23498041600000003"	"LEFT_ARM"
"1.6119644E7"	0	"0.27407343700000003"	"LEFT_ARM"
"1.6124654E7"	0	"0.31334958300000004"	"LEFT_ARM"
"1.6126715E7"	0	"0.352473125"	"LEFT_ARM"
"1.6132784E7"	0	"0.391688177"	"LEFT_ARM"
"1.6144525E7"	0	"0.43087276"	"LEFT_ARM"
"1.6163857E7"	0	"0.47002682300000004"	"LEFT_ARM"
"1.6167785E7"	0	"0.509211406"	"LEFT_ARM"
"1.6177761E7"	0	"0.548365416"	"LEFT_ARM"
"1.6181199E7"	0	"0.58755"	"LEFT_ARM"
"1.6216867E7"	0	"0.6267345830000001"	"LEFT_ARM"
"1.6222146E7"	0	"0.665888645"	"LEFT_ARM"
"1.6226913E7"	0	"0.705073177"	"LEFT_ARM"
"1.6241112E7"	0	"0.7442272390000001"	"LEFT_ARM"
"1.6259976E7"	0	"0.783381302"	"LEFT_ARM"
"1.6265427E7"	0	"0.822565885"	"LEFT_ARM"
"1.6287117E7"	0	"0.8617504680000001"	"LEFT_ARM"
"1.6266164E7"	0	"0.900935"	"LEFT_ARM"
"1.6220795E7"	0	"0.9401195830000001"	"LEFT_ARM"
"1.6169211E7"	0	"0.979273645"	"LEFT_ARM"
"1.6139096E7"	0	"1.0184277080000002"	"LEFT_ARM"
"1.6114608E7"	0	"1.057581718"	"LEFT_ARM"
"1.6091122E7"	0	"1.09670526"	"LEFT_ARM"
"1.6083116E7"	0	"1.135828802"	"LEFT_ARM"
"1.6088523E7"	0	"1.1749523430000002"	"LEFT_ARM"
"1.6090412E7"	0	"1.214075885"	"LEFT_ARM"
