File Created Date: 2024-06-03			Comments: RECORDING START TIME: Sun Jun 02 22:13:58 EDT 2024, DURATION: 30s. Left 0818, right 1064. Right tourniquet.

PPG	Derivative	Time	Laterality
"2.193088E7"	0	"0.0"	"LEFT_ARM"
"2.1946064E7"	0	"0.03948974"	"LEFT_ARM"
"2.1971736E7"	0	"0.079101563"	"LEFT_ARM"
"2.1995786E7"	0	"0.118652344"	"LEFT_ARM"
"2.203186E7"	0	"0.158203125"	"LEFT_ARM"
"2.2060154E7"	0	"0.197753906"	"LEFT_ARM"
"2.2101416E7"	0	"0.237243646"	"LEFT_ARM"
"2.2132956E7"	0	"0.276855469"	"LEFT_ARM"
"2.217091E7"	0	"0.31640625"	"LEFT_ARM"
"2.2201688E7"	0	"0.35595703100000003"	"LEFT_ARM"
"2.224944E7"	0	"0.39547729200000004"	"LEFT_ARM"
"2.2298536E7"	0	"0.434936511"	"LEFT_ARM"
"2.2337516E7"	0	"0.474487292"	"LEFT_ARM"
"2.2389032E7"	0	"0.514068594"	"LEFT_ARM"
"2.2413968E7"	0	"0.553619375"	"LEFT_ARM"
"2.2356096E7"	0	"0.5931396360000001"	"LEFT_ARM"
"2.2283744E7"	0	"0.632629375"	"LEFT_ARM"
"2.221847E7"	0	"0.672210677"	"LEFT_ARM"
"2.2152872E7"	0	"0.711791979"	"LEFT_ARM"
"2.2109592E7"	0	"0.7513427610000001"	"LEFT_ARM"
"2.2057532E7"	0	"0.7916807810000001"	"LEFT_ARM"
"2.2058164E7"	0	"0.8311094790000001"	"LEFT_ARM"
"2.2057508E7"	0	"0.8707213020000001"	"LEFT_ARM"
"2.2055112E7"	0	"0.910272084"	"LEFT_ARM"
"2.2070784E7"	0	"0.949822865"	"LEFT_ARM"
"2.2083948E7"	0	"0.9893431250000001"	"LEFT_ARM"
"2.2113212E7"	0	"1.028863386"	"LEFT_ARM"
"2.2139396E7"	0	"1.068322604"	"LEFT_ARM"
"2.2168544E7"	0	"1.107934427"	"LEFT_ARM"
"2.220653E7"	0	"1.147485209"	"LEFT_ARM"
"2.22424E7"	0	"1.18703599"	"LEFT_ARM"
"2.227326E7"	0	"1.22655625"	"LEFT_ARM"
"2.230828E7"	0	"1.266107031"	"LEFT_ARM"
